"Station Name (LEA)","join_key","ori","agency_name","agency_type_name","state_name","state_abbr","division_name","region_name","region_desc","county_name","nibrs","latitude","longitude","nibrs_start_date"
"ATHENS POLICE DEPARTMENT","ATHENS POLICE DEPARTMENT","AL0440100","ATHENS POLICE DEPARTMENT","City","Alabama","AL","East South Central","South","Region III","LIMESTONE",FALSE,34.803825,-86.95889,NA
"AUTAUGA COUNTY SHERIFF'S OFFICE","AUTAUGA COUNTY SHERIFF'S OFFICE","AL0040000","AUTAUGA COUNTY SHERIFF'S OFFICE","County","Alabama","AL","East South Central","South","Region III","AUTAUGA",FALSE,32.4632,-86.47712,NA
"BRUNDIDGE POLICE DEPARTMENT","BRUNDIDGE POLICE DEPARTMENT","AL0550200","BRUNDIDGE POLICE DEPARTMENT","City","Alabama","AL","East South Central","South","Region III","PIKE",FALSE,31.72041,-85.81567,NA
"CHAMBERS COUNTY SHERIFF'S OFFICE","CHAMBERS COUNTY SHERIFF'S OFFICE","AL0120000","CHAMBERS COUNTY SHERIFF'S OFFICE","County","Alabama","AL","East South Central","South","Region III","CHAMBERS",FALSE,32.89985,-85.40123,NA
"CLANTON POLICE DEPARTMENT","CLAYTON POLICE DEPARTMENT","AL0060200","CLAYTON POLICE DEPARTMENT","City","Alabama","AL","East South Central","South","Region III","BARBOUR",FALSE,31.870253,-85.405104,NA
"CLANTON POLICE DEPARTMENT","CLANTON POLICE DEPARTMENT","AL0140100","CLANTON POLICE DEPARTMENT","City","Alabama","AL","East South Central","South","Region III","CHILTON",FALSE,32.854051,-86.726607,NA
"COLBERT COUNTY SHERIFF'S OFFICE","COLBERT COUNTY SHERIFF'S OFFICE","AL0200000","COLBERT COUNTY SHERIFF'S OFFICE","County","Alabama","AL","East South Central","South","Region III","COLBERT",FALSE,34.73306,-87.70358,NA
"COLUMBIA POLICE DEPARTMENT","COLUMBIA POLICE DEPARTMENT","AL0380400","COLUMBIA POLICE DEPARTMENT","City","Alabama","AL","East South Central","South","Region III","HOUSTON",FALSE,31.158193,-85.296398,NA
"ETOWAH COUNTY SHERIFF'S OFFICE","ETOWAH COUNTY SHERIFF'S OFFICE","AL0310000","ETOWAH COUNTY SHERIFF'S OFFICE","County","Alabama","AL","East South Central","South","Region III","ETOWAH",FALSE,34.01584,-86.011925,NA
"FRANKLIN COUNTY SHERIFF'S OFFICE","FRANKLIN COUNTY SHERIFF'S OFFICE","AL0330000","FRANKLIN COUNTY SHERIFF'S OFFICE","County","Alabama","AL","East South Central","South","Region III","FRANKLIN",FALSE,34.441989,-87.842814,NA
"GORDON POLICE DEPARTMENT","GORDON POLICE DEPARTMENT","AL0380300","GORDON POLICE DEPARTMENT","City","Alabama","AL","East South Central","South","Region III","HOUSTON",FALSE,31.14179,-85.096176,NA
"GORDON POLICE DEPARTMENT","GORDO POLICE DEPARTMENT","AL0540200","GORDO POLICE DEPARTMENT","City","Alabama","AL","East South Central","South","Region III","PICKENS",FALSE,33.296808,-88.096878,NA
"HANCEVILLE POLICE DEPARTMENT","HANCEVILLE POLICE DEPARTMENT","AL0250200","HANCEVILLE POLICE DEPARTMENT","City","Alabama","AL","East South Central","South","Region III","CULLMAN",FALSE,34.131923,-86.869267,NA
"HENRY COUNTY SHERIFFS OFFICE","HENRY COUNTY SHERIFF'S OFFICE","AL0370000","HENRY COUNTY SHERIFF'S OFFICE","County","Alabama","AL","East South Central","South","Region III","HENRY",FALSE,31.516978,-85.239971,NA
"JEFFERSON COUNTY SHERIFF'S OFFICE","JEFFERSON COUNTY SHERIFF'S OFFICE","AL0010000","JEFFERSON COUNTY SHERIFF'S OFFICE","County","Alabama","AL","East South Central","South","Region III","JEFFERSON",FALSE,33.553444,-86.896536,NA
"LAUDERDALE COUNTY SHERIFFS OFFICE","LAUDERDALE COUNTY SHERIFF'S OFFICE","AL0410000","LAUDERDALE COUNTY SHERIFF'S OFFICE","County","Alabama","AL","East South Central","South","Region III","LAUDERDALE",FALSE,34.904122,-87.650997,NA
"MACON COUNTY SHERIFF'S OFFICE","MACON COUNTY SHERIFF'S OFFICE","AL0460000","MACON COUNTY SHERIFF'S OFFICE","County","Alabama","AL","East South Central","South","Region III","MACON",FALSE,32.40025,-85.63693,NA
"MARGARET POLICE DEPARTMENT","MARGARET POLICE DEPARTMENT","AL0580800","MARGARET POLICE DEPARTMENT","City","Alabama","AL","East South Central","South","Region III","ST CLAIR",FALSE,33.712963,-86.315663,NA
"MIDLAND CITY POLICE DEPARTMENT","MIDLAND CITY POLICE DEPARTMENT","AL0260600","MIDLAND CITY POLICE DEPARTMENT","City","Alabama","AL","East South Central","South","Region III","DALE",FALSE,31.430654,-85.609476,NA
"MORGAN COUNTY SHERIFF'S OFFICE","MORGAN COUNTY SHERIFF'S OFFICE","AL0520000","MORGAN COUNTY SHERIFF'S OFFICE","County","Alabama","AL","East South Central","South","Region III","MORGAN",FALSE,34.454484,-86.846402,NA
"NEW SITE POLICE DEPARTMENT","NEW SITE POLICE DEPARTMENT","AL0620600","NEW SITE POLICE DEPARTMENT","City","Alabama","AL","East South Central","South","Region III","TALLAPOOSA",FALSE,32.863369,-85.799553,NA
"PELHAM POLICE DEPARTMENT","PELHAM POLICE DEPARTMENT","AL0590600","PELHAM POLICE DEPARTMENT","City","Alabama","AL","East South Central","South","Region III","SHELBY",FALSE,33.262937,-86.678104,NA
"PICKENS COUNTY SHERIFF'S OFFICE","PICKENS COUNTY SHERIFF'S OFFICE","AL0540000","PICKENS COUNTY SHERIFF'S OFFICE","County","Alabama","AL","East South Central","South","Region III","PICKENS",FALSE,33.296808,-88.096878,NA
"PIEDMONT POLICE DEPARTMENT","PIEDMONT POLICE DEPARTMENT","AL0110300","PIEDMONT POLICE DEPARTMENT","City","Alabama","AL","East South Central","South","Region III","CALHOUN",FALSE,33.771706,-85.822513,NA
"REPTON POLICE DEPARTMENT","REPTON POLICE DEPARTMENT","AL0210300","REPTON POLICE DEPARTMENT","City","Alabama","AL","East South Central","South","Region III","CONECUH",FALSE,31.428292,-86.992029,NA
"SYLVANIA POLICE DEPARTMENT","SYLVANIA POLICE DEPARTMENT","AL0281200","SYLVANIA POLICE DEPARTMENT","City","Alabama","AL","East South Central","South","Region III","DEKALB",FALSE,34.460929,-85.803992,NA
"TUSKEGEE POLICE DEPARTMENT","TUSKEGEE POLICE DEPARTMENT","AL0460100","TUSKEGEE POLICE DEPARTMENT","City","Alabama","AL","East South Central","South","Region III","MACON",FALSE,32.436695,-85.69221,NA
"UNION SPRINGS POLICE DEPARTMENT","UNION SPRINGS POLICE DEPARTMENT","AL0090100","UNION SPRINGS POLICE DEPARTMENT","City","Alabama","AL","East South Central","South","Region III","BULLOCK",FALSE,32.13935,-85.716125,NA
"ANCHORAGE POLICE DEPARTMENT","ANCHORAGE POLICE DEPARTMENT","AK0010100","ANCHORAGE POLICE DEPARTMENT","City","Alaska","AK","Pacific","West","Region IV","ANCHORAGE",FALSE,61.17425,-149.284329,NA
"JUNEAU POLICE DEPARTMENT","JUNEAU POLICE DEPARTMENT","AK0010300","JUNEAU POLICE DEPARTMENT","City","Alaska","AK","Pacific","West","Region IV","JUNEAU",FALSE,58.356556,-134.50731,NA
"ALEXANDER POLICE DEPARTMENT","ALEXANDER POLICE DEPARTMENT","AR0600700","ALEXANDER POLICE DEPARTMENT","City","Arkansas","AR","West South Central","South","Region III","PULASKI; SALINE",TRUE,34.773988,-92.316515,"05/01/2015"
"BARLING POLICE DEPARTMENT","BARLING POLICE DEPARTMENT","AR0660300","BARLING POLICE DEPARTMENT","City","Arkansas","AR","West South Central","South","Region III","SEBASTIAN",TRUE,35.3253,-94.29946,"01/01/2003"
"BAXTER COUNTY SHERIFFS OFFICE","BAXTER COUNTY SHERIFF'S OFFICE","AR0030000","BAXTER COUNTY SHERIFF'S OFFICE","County","Arkansas","AR","West South Central","South","Region III","BAXTER",TRUE,36.28071,-92.330438,"10/01/2002"
"BENTON COUNTY SHERIFF'S OFFICE","BENTON COUNTY SHERIFF'S OFFICE","AR0040000","BENTON COUNTY SHERIFF'S OFFICE","County","Arkansas","AR","West South Central","South","Region III","BENTON",TRUE,36.337825,-94.256187,"01/01/2006"
"BENTON POLICE DEPARTMENT","BENTON POLICE DEPARTMENT","AR0630100","BENTON POLICE DEPARTMENT","City","Arkansas","AR","West South Central","South","Region III","SALINE",TRUE,34.56359,-92.585594,"04/01/2006"
